date,A_Profit,B_Profit,A_TP,A_FP,A_FN,B_TP,B_FP,B_FN,A_F1,B_F1,n,A_CumProfit,B_CumProfit
2025-09-11,0.0,0.0,0,0,0,0,0,0,0.0,0.0,10,0.0,0.0
2025-09-12,0.0,0.0,0,0,0,0,0,0,0.0,0.0,289,0.0,0.0
2025-09-15,-255.0,864.6,0,0,51,40,6,11,0.0,0.8247,2075,-255.0,864.6
2025-09-16,-40.0,80.96,0,0,8,4,0,4,0.0,0.6667,1081,-295.0,945.5600000000001
2025-09-17,-50.0,252.4,0,0,10,10,0,0,0.0,1.0,764,-345.0,1197.96
2025-09-19,-90.0,364.32,0,0,18,18,6,0,0.0,0.8571,458,-435.0,1562.28
2025-09-22,-395.0,935.56,0,0,79,44,0,35,0.0,0.7154,2149,-830.0,2497.84
2025-09-23,-145.0,157.88,0,0,29,12,4,17,0.0,0.5333,462,-975.0,2655.7200000000003
2025-09-25,-10.0,20.24,0,0,2,1,0,1,0.0,0.6667,154,-985.0,2675.96
2025-09-26,-10.0,35.48,0,0,2,2,1,0,0.0,0.8,154,-995.0,2711.44
2025-09-29,0.0,0.0,0,0,0,0,0,0,0.0,0.0,307,-995.0,2711.44
2025-10-01,-5.0,25.24,0,0,1,1,0,0,0.0,1.0,154,-1000.0,2736.68
2025-10-03,0.0,0.0,0,0,0,0,0,0,0.0,0.0,314,-1000.0,2736.68
2025-10-07,0.0,0.0,0,0,0,0,0,0,0.0,0.0,6,-1000.0,2736.68
2025-10-09,0.0,0.0,0,0,0,0,0,0,0.0,0.0,6,-1000.0,2736.68
2025-10-14,0.0,0.0,0,0,0,0,0,0,0.0,0.0,6,-1000.0,2736.68
2025-10-24,-25.0,126.2,0,0,5,5,0,0,0.0,1.0,6,-1025.0,2862.8799999999997
2025-11-28,0.0,0.0,0,0,0,0,0,0,0.0,0.0,6,-1025.0,2862.8799999999997
2025-12-01,-10.0,50.48,0,0,2,2,0,0,0.0,1.0,6,-1035.0,2913.3599999999997
2026-03-20,0.0,0.0,0,0,0,0,0,0,0.0,0.0,2,-1035.0,2913.3599999999997
2026-03-24,0.0,0.0,0,0,0,0,0,0,0.0,0.0,1,-1035.0,2913.3599999999997
2026-03-31,0.0,0.0,0,0,0,0,0,0,0.0,0.0,1,-1035.0,2913.3599999999997
2026-04-02,-468.8,2229.28,5,0,119,122,56,2,0.0775,0.8079,678,-1503.8,5142.639999999999
2026-04-06,-304.04,1498.24,4,0,81,76,25,9,0.0899,0.8172,468,-1807.84,6640.879999999999
2026-04-15,-95.0,11.92,0,0,19,8,9,11,0.0,0.4444,104,-1902.84,6652.799999999999
2026-04-16,-200.0,573.16,0,0,40,34,17,6,0.0,0.7473,432,-2102.84,7225.959999999999
2026-04-17,-35.0,116.44,0,0,7,6,2,1,0.0,0.8,30,-2137.84,7342.399999999999
