date,equity,open_positions
2025-11-20,99990.0055881729,1
2025-11-21,99635.50717903899,5
2025-11-24,101181.2891791391,5
2025-11-25,101822.9793341684,5
2025-11-26,102321.55555181977,5
2025-11-28,102877.56091909882,5
2025-12-01,102214.15242605683,5
2025-12-02,102267.8536284494,5
2025-12-03,102821.65952139374,5
2025-12-04,102498.90426474091,5
2025-12-05,103455.02882986542,5
2025-12-08,103867.99588232514,5
2025-12-09,104574.96087866303,5
2025-12-10,105854.55579596039,5
2025-12-11,105244.77616720673,5
2025-12-12,102421.90101461884,5
2025-12-15,102123.33647699523,5
2025-12-16,101482.82387323547,5
2025-12-17,100506.95861978698,5
2025-12-18,101937.55696649718,5
2025-12-19,103223.74871606994,5
2025-12-22,103758.89258594788,5
2025-12-23,103700.93955164733,4
2025-12-24,103926.60732203307,4
2025-12-26,103840.38370133986,5
2025-12-29,103769.194183365,5
2025-12-30,103743.3607711946,5
2025-12-31,103430.42351152052,5
2026-01-02,105569.31811537185,5
2026-01-05,106939.85563528517,5
2026-01-06,107649.39805833205,5
2026-01-07,107722.94298020705,5
2026-01-08,108322.23063869582,5
2026-01-09,109114.7143372798,5
2026-01-12,109346.34640972853,5
2026-01-13,109571.60369580031,5
2026-01-14,109591.66532604933,5
2026-01-15,109793.7464341426,5
2026-01-16,110109.55215161086,5
2026-01-20,109617.20773022414,5
2026-01-21,110151.08024304152,5
2026-01-22,110250.17757885695,5
2026-01-23,110230.19976513625,5
2026-01-26,110133.19989483595,5
2026-01-27,110871.83335583449,5
2026-01-28,110825.83659832717,5
2026-01-29,111179.04655163527,5
2026-01-30,110832.43986981154,5
2026-02-02,111701.02741711379,5
2026-02-03,111507.72900097609,5
2026-02-04,110744.07178695753,5
2026-02-05,110473.95320327833,5
2026-02-06,111020.87382705763,5
2026-02-09,110906.32792099073,5
2026-02-10,110398.61902816847,5
2026-02-11,110944.95887954786,5
2026-02-12,110640.13910110548,5
2026-02-13,110708.30929000929,5
