symbol,entry_date,exit_date,entry_price,exit_price,shares,pnl,exit_reason,strategy,pnl_pct,holding_days
WMT,2025-11-20,2025-11-24,106.89210510253906,103.59,187,-637.17,Stop-Loss 🛑,Sniper 🎯,-3.09,4
AVGO,2025-11-24,2025-12-15,377.2381896972656,351.23,30,-791.17,Stop-Loss 🛑,Sniper 🎯,-6.89,21
MU,2025-11-21,2025-12-22,207.2862548828125,278.22,8,565.53,TP1 Partial (30%) 🎯,Defansif 🛡️,34.22,31
LRCX,2025-11-21,2025-12-23,142.41552734375,176.01,20,668.71,TP1 Partial (30%) 🎯,Defansif 🛡️,23.59,32
HSY,2025-12-15,2025-12-23,188.11000061035156,182.09,61,-378.51,Stop-Loss 🛑,Sniper 🎯,-3.2,8
MU,2025-11-21,2026-01-02,207.2862548828125,309.75,9,920.78,TP2 Partial (50%) 🎯🎯,Defansif 🛡️,49.43,42
LRCX,2025-11-21,2026-01-05,142.41552734375,190.94,24,1162.3,TP2 Partial (50%) 🎯🎯,Defansif 🛡️,34.07,45
SLB,2025-11-21,2026-01-05,35.695831298828125,40.86,81,415.2,TP1 Partial (30%) 🎯,Defansif 🛡️,14.47,45
SLB,2025-11-21,2026-01-06,35.695831298828125,43.15,96,713.53,TP2 Partial (50%) 🎯🎯,Defansif 🛡️,20.88,46
TGT,2025-12-26,2026-01-08,98.54773712158203,106.92,38,314.24,TP1 Partial (30%) 🎯,Sniper 🎯,8.5,13
GOOGL,2025-11-21,2026-01-09,299.464111328125,330.48,15,460.51,TP1 Partial (30%) 🎯,Sniper 🎯,10.36,49
TGT,2025-12-26,2026-02-04,98.54773712158203,112.51,44,611.86,TP2 Partial (50%) 🎯🎯,Sniper 🎯,14.17,40
GOOGL,2025-11-21,2026-02-13,299.464111328125,305.7200012207031,38,231.92,Dönem Sonu Kapatma 📅,Sniper 🎯,2.09,84
LRCX,2025-11-21,2026-02-13,142.41552734375,235.52999877929688,24,2231.92,Dönem Sonu Kapatma 📅,Defansif 🛡️,65.38,84
MU,2025-11-21,2026-02-13,207.2862548828125,411.6600036621094,10,2041.68,Dönem Sonu Kapatma 📅,Defansif 🛡️,98.59,84
SLB,2025-11-21,2026-02-13,35.695831298828125,50.38999938964844,96,1408.22,Dönem Sonu Kapatma 📅,Defansif 🛡️,41.16,84
TGT,2025-12-26,2026-02-13,98.54773712158203,115.76000213623047,45,771.95,Dönem Sonu Kapatma 📅,Sniper 🎯,17.47,49
