feature,importance
volume_avg_20,0.047868663712735654
macd_hist,0.03425900360540617
ema_200,0.021989636609364115
macd,0.01900243628994151
rsi,0.01437938759296335
bb_upper,0.013088126833571316
ema_20,0.01131020408375953
ema_50,0.00779723125447262
volume,0.006105488533397019
onchain_active_addresses,0.005124548322002474
close,0.004473029179270444
sentiment_score,0.004046356239753494
atr,0.0035357211773360377
open_risk,0.0032602822600085357
macd_signal,0.0031995669078884667
news_sentiment,0.0031636633156337545
kelly_fraction,0.002731377191014385
position_ratio,0.0026430016033570265
bb_lower,0.0024481102665315367
onchain_tx_volume,0.002196494206891754
cash_ratio,0.00206525382935288
regime_volatility,0.0017540173923521667
regime_trend,0.00045298611127679675
regime_range,0.0003318836786725758
