feature,importance
volume_avg_20,0.048769904472297315
macd_hist,0.02855175690867026
ema_200,0.023966042010445176
rsi,0.01594077265690083
macd,0.015847203972785984
bb_upper,0.014514318663091486
ema_20,0.01319527409081787
volume,0.007106789185519938
ema_50,0.006987875902877877
close,0.004617710225795231
macd_signal,0.0039856039805554735
open_risk,0.003947312980588974
atr,0.003933960964821391
onchain_active_addresses,0.003705992639138767
sentiment_score,0.0034683761793322886
position_ratio,0.0033185314983071148
kelly_fraction,0.003086914140552954
news_sentiment,0.0027133696224307595
onchain_tx_volume,0.0026748732172615676
regime_volatility,0.002646342698596528
cash_ratio,0.0025965900854004564
bb_lower,0.002294425211861479
regime_range,0.00033852197823234094
regime_trend,0.0002059119817001899
