Symbol,Score,Signal,Price,Change%,Stop,TP,UpsideToTP%,DownsideToStop%,R/R,Regime,Sentiment,Momentum,Entry OK,HQ Signal
IREN,91,BUY,61.18,7.62,59.5,68.23,11.52,-2.75,3.33,Trend,Bullish,bullish,Yes,Yes
MRNA,87,BUY,55.01,0.0,53.46,60.18,9.4,-2.82,3.33,Trend,Bullish,bullish,Yes,Yes
PTCT,87,BUY,76.38,0.0,74.61,82.29,7.74,-2.32,3.33,Trend,Bullish,bullish,Yes,Yes
BIDU,87,BUY,140.94,0.76,140.2,147.75,4.83,-0.53,3.33,Trend,Bullish,bullish,Yes,Yes
RKLB,86,BUY,101.89,29.66,99.13,109.07,7.05,-2.71,3.33,Trend,Bullish,bullish,Yes,Yes
AKAM,84,BUY,149.176,0.0,145.17,162.54,8.96,-2.69,3.33,Trend,Bullish,bullish,Yes,Yes
MCFT,84,BUY,27.73,8.15,27.56,29.35,5.84,-0.61,3.33,Trend,Bullish,bullish,No,Yes
NVAX,82,BUY,10.425,0.0,10.16,11.31,8.49,-2.54,3.33,Trend,Bullish,bullish,Yes,Yes
NAMS,80,BUY,39.05,0.0,38.18,41.93,7.38,-2.23,3.33,Trend,Bullish,bullish,Yes,Yes
TWIN,80,BUY,19.33,5.0,18.63,21.05,8.9,-3.62,3.33,Trend,Bullish,bullish,No,Yes
MNST,80,BUY,87.34,0.0,86.29,90.82,3.98,-1.2,3.33,Trend,Bullish,bullish,Yes,Yes
CURR,80,BUY,4.45,0.0,4.37,4.71,5.84,-1.8,3.33,Trend,Bullish,bullish,No,Yes
FITBM,78,HOLD,26.2,0.0,26.11,26.48,1.07,-0.34,3.33,Range,Bullish,bullish,No,No
BPYPM,78,BUY,16.95,0.0,16.91,17.09,0.83,-0.24,3.33,Trend,Neutral,neutral,No,Yes
MBUU,78,BUY,29.83,17.44,29.26,32.3,8.28,-1.91,3.33,Range,Bullish,bullish,Yes,Yes
FEIM,78,BUY,62.5,14.03,61.28,66.32,6.11,-1.95,3.33,Trend,Bullish,bullish,No,Yes
GRVY,78,BUY,66.25,0.0,65.16,69.89,5.49,-1.65,3.33,Range,Bullish,bullish,No,Yes
UTSI,78,BUY,2.65,0.0,2.59,2.86,7.92,-2.26,3.33,Range,Bullish,bullish,No,Yes
RDW,77,BUY,10.93,0.0,10.6,12.05,10.25,-3.02,3.33,Range,Bullish,bullish,Yes,Yes
ROAD,77,BUY,141.32,7.58,135.92,149.07,5.48,-3.82,3.33,Trend,Neutral,neutral,Yes,Yes
EKSO,75,BUY,11.65,0.0,11.3,12.82,10.04,-3.0,3.33,Trend,Neutral,neutral,No,Yes
NVDA,73,BUY,215.43,1.86,213.67,220.33,2.27,-0.82,3.33,Trend,Bullish,bullish,Yes,Yes
EXEL,73,BUY,47.76,0.0,47.44,48.82,2.22,-0.67,3.33,Trend,Bullish,bullish,Yes,Yes
BKSY,73,BUY,38.1,0.0,36.22,42.98,12.81,-4.93,2.6,Trend,Bullish,bullish,Yes,Yes
FLY,73,BUY,39.16,21.01,37.61,44.84,14.5,-3.96,2.6,Range,Bullish,bullish,Yes,No
